image,matches_prompt,discriminator_Score,red_mean,green_mean,blue_mean,luminance,Skintone 1,Race 1,RaceTextbox 1,Afrocentric 1,Eurocentric 1,Asiocentric 1,Masculinity 1,Femininity 1,Hair 1,Skintone 2,Race 2,RaceTextbox 2,Afrocentric 2,Eurocentric 2,Asiocentric 2,Masculinity 2,Femininity 2,Hair 2,Skintone 3,Race 3,RaceTextbox 3,Afrocentric 3,Eurocentric 3,Asiocentric 3,Masculinity 3,Femininity 3,Hair 3,Skintone 4,Race 4,RaceTextbox 4,Afrocentric 4,Eurocentric 4,Asiocentric 4,Masculinity 4,Femininity 4,Hair 4,Skintone 5,Race 5,RaceTextbox 5,Afrocentric 5,Eurocentric 5,Asiocentric 5,Masculinity 5,Femininity 5,Hair 5,Skintone 6,Race 6,RaceTextbox 6,Afrocentric 6,Eurocentric 6,Asiocentric 6,Masculinity 6,Femininity 6,Hair 6,Skintone 7,Race 7,RaceTextbox 7,Afrocentric 7,Eurocentric 7,Asiocentric 7,Masculinity 7,Femininity 7,Hair 7,Skintone 8,Race 8,RaceTextbox 8,Afrocentric 8,Eurocentric 8,Asiocentric 8,Masculinity 8,Femininity 8,Hair 8,Skintone 9,Race 9,RaceTextbox 9,Afrocentric 9,Eurocentric 9,Asiocentric 9,Masculinity 9,Femininity 9,Hair 9,Skintone 10,Race 10,RaceTextbox 10,Afrocentric 10,Eurocentric 10,Asiocentric 10,Masculinity 10,Femininity 10,Hair 10,Skintone 11,Race 11,RaceTextbox 11,Afrocentric 11,Eurocentric 11,Asiocentric 11,Masculinity 11,Femininity 11,Hair 11,Skintone 12,Race 12,RaceTextbox 12,Afrocentric 12,Eurocentric 12,Asiocentric 12,Masculinity 12,Femininity 12,Hair 12,Skintone 13,Race 13,RaceTextbox 13,Afrocentric 13,Eurocentric 13,Asiocentric 13,Masculinity 13,Femininity 13,Hair 13,Skintone 14,Race 14,RaceTextbox 14,Afrocentric 14,Eurocentric 14,Asiocentric 14,Masculinity 14,Femininity 14,Hair 14,Skintone 15,Race 15,RaceTextbox 15,Afrocentric 15,Eurocentric 15,Asiocentric 15,Masculinity 15,Femininity 15,Hair 15,Skintone 16,Race 16,RaceTextbox 16,Afrocentric 16,Eurocentric 16,Asiocentric 16,Masculinity 16,Femininity 16,Hair 16
top1.png,Yes,212.12486267089844,202.0668,151.64497,129.99026,0.63060963,1.0,White,,1.0,7.0,2.0,4.0,3.0,1.0,1.0,White,,1.0,7.0,1.0,1.0,1.0,3.0,1.0,White,,1.0,7.0,1.0,5.0,3.0,2.0,1.0,White,,1.0,7.0,1.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top10.png,Yes,218.50460815429688,138.00609,104.31843,98.56212,0.43555835,1.0,White,,1.0,7.0,1.0,7.0,1.0,1.0,2.0,White,,1.0,7.0,1.0,7.0,1.0,2.0,1.0,White,,1.0,7.0,1.0,5.0,3.0,1.0,1.0,White,,1.0,7.0,1.0,6.0,1.0,1.0,2.0,White,,1.0,,1.0,7.0,1.0,1.0,2.0,White,,1.0,6.0,1.0,6.0,1.0,1.0,2.0,White,,1.0,7.0,1.0,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top100.png,Yes,223.76467895507807,177.9967,117.20012,146.05884,0.5184804,1.0,White,,1.0,7.0,1.0,2.0,6.0,4.0,1.0,White,,1.0,7.0,1.0,1.0,7.0,3.0,6.0,American Indian or Alaska Native,,4.0,6.0,4.0,4.0,4.0,4.0,1.0,White,,1.0,7.0,1.0,1.0,7.0,4.0,1.0,White,,1.0,7.0,7.0,1.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top11.png,Yes,224.049560546875,144.38747,120.4986,136.25992,0.49692756,1.0,White,,1.0,7.0,1.0,4.0,4.0,5.0,1.0,White,,1.0,7.0,1.0,1.0,1.0,4.0,1.0,White,,1.0,7.0,1.0,5.0,3.0,5.0,1.0,White,,1.0,7.0,1.0,1.0,7.0,4.0,1.0,White,,1.0,7.0,2.0,3.0,3.0,5.0,1.0,White,,1.0,6.0,2.0,2.0,6.0,3.0,2.0,White,,1.0,7.0,1.0,1.0,5.0,3.0,1.0,White,,1.0,7.0,1.0,4.0,4.0,5.0,1.0,White,,1.0,6.0,1.0,1.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top12.png,Yes,212.6058807373047,156.52585,120.21733,91.20573,0.49351144,1.0,White,,1.0,7.0,1.0,7.0,1.0,3.0,1.0,White,,1.0,7.0,1.0,7.0,1.0,2.0,2.0,White,,1.0,6.0,2.0,5.0,3.0,3.0,2.0,White,,1.0,7.0,1.0,6.0,2.0,2.0,3.0,White,,1.0,7.0,1.0,7.0,1.0,2.0,1.0,White,,1.0,7.0,1.0,7.0,1.0,2.0,1.0,White,,1.0,5.0,2.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top13.png,Yes,221.60806274414065,140.54794,77.69722,103.65938,0.36446038,3.0,White,,1.0,7.0,1.0,7.0,1.0,1.0,1.0,White,,1.0,7.0,1.0,7.0,1.0,2.0,3.0,White,,1.0,6.0,1.0,6.0,1.0,1.0,2.0,White,,1.0,1.0,1.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top14.png,Yes,212.34780883789065,121.6225,118.281075,114.28089,0.46550205,3.0,Asian,,1.0,1.0,7.0,4.0,1.0,2.0,1.0,Asian,,1.0,2.0,7.0,6.0,3.0,1.0,2.0,Asian,,1.0,1.0,7.0,6.0,1.0,2.0,3.0,Asian,,1.0,1.0,6.0,5.0,1.0,2.0,3.0,Asian,,1.0,1.0,7.0,3.0,3.0,3.0,2.0,Asian,,1.0,4.0,2.0,5.0,1.0,2.0,2.0,Asian,,1.0,1.0,7.0,6.0,2.0,2.0,3.0,Asian,,1.0,1.0,5.0,6.0,1.0,1.0,2.0,Asian,,1.0,1.0,7.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top15.png,Yes,211.32440185546875,200.36691,107.14897,164.29727,0.5141101,1.0,White,,1.0,7.0,1.0,1.0,5.0,3.0,1.0,White,,1.0,7.0,1.0,1.0,6.0,5.0,1.0,White,,1.0,7.0,1.0,2.0,4.0,4.0,1.0,White,,1.0,7.0,1.0,1.0,7.0,3.0,1.0,White,,1.0,1.0,1.0,2.0,5.0,3.0,1.0,White,,1.0,7.0,1.0,3.0,3.0,3.0,2.0,White,,1.0,7.0,1.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top16.png,Yes,211.56655883789065,213.54929,148.75406,145.90271,0.6365814,1.0,White,,1.0,,1.0,7.0,1.0,2.0,1.0,White,,1.0,7.0,1.0,6.0,1.0,1.0,1.0,White,,2.0,5.0,2.0,5.0,3.0,1.0,2.0,White,,2.0,6.0,2.0,7.0,1.0,3.0,2.0,White,,1.0,7.0,1.0,7.0,1.0,3.0,1.0,White,,1.0,7.0,1.0,7.0,1.0,2.0,2.0,White,,1.0,7.0,1.0,7.0,1.0,2.0,2.0,White,,1.0,7.0,1.0,7.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top17.png,Yes,213.0390625,195.7836,124.96766,107.75607,0.54425883,,Asian,,1.0,1.0,6.0,,6.0,3.0,1.0,Asian,,1.0,1.0,7.0,1.0,7.0,2.0,1.0,Asian,,1.0,1.0,7.0,1.0,5.0,3.0,2.0,Asian,,1.0,2.0,6.0,4.0,4.0,2.0,2.0,Asian,,1.0,1.0,7.0,1.0,6.0,2.0,2.0,Asian,,1.0,1.0,7.0,4.0,4.0,3.0,2.0,Asian,,1.0,4.0,5.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
