,percent_perturbed,perturbation,input,readable_output,model_type,tokenized_output,confidence,bleu_score,control_number,case,shuffled
0,100,lemma,bpe_set/lemma_100.en.bpe,translations/out_lemma_100.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_100.zh_shuffled-en-zh.bpe,μ = 28.5 ± 0.7,28.5,1.0,perturbation,shuffled
1,10,lemma,bpe_set/lemma_10.en.bpe,translations/out_lemma_10.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_10.zh_shuffled-en-zh.bpe,μ = 35.9 ± 0.7,35.9,1.0,perturbation,shuffled
2,20,lemma,bpe_set/lemma_20.en.bpe,translations/out_lemma_20.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_20.zh_shuffled-en-zh.bpe,μ = 35.1 ± 0.7,35.1,1.0,perturbation,shuffled
3,30,lemma,bpe_set/lemma_30.en.bpe,translations/out_lemma_30.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_30.zh_shuffled-en-zh.bpe,μ = 34.2 ± 0.7,34.2,1.0,perturbation,shuffled
4,40,lemma,bpe_set/lemma_40.en.bpe,translations/out_lemma_40.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_40.zh_shuffled-en-zh.bpe,μ = 33.2 ± 0.7,33.2,1.0,perturbation,shuffled
5,50,lemma,bpe_set/lemma_50.en.bpe,translations/out_lemma_50.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_50.zh_shuffled-en-zh.bpe,μ = 32.4 ± 0.7,32.4,1.0,perturbation,shuffled
6,60,lemma,bpe_set/lemma_60.en.bpe,translations/out_lemma_60.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_60.zh_shuffled-en-zh.bpe,μ = 31.3 ± 0.7,31.3,1.0,perturbation,shuffled
7,70,lemma,bpe_set/lemma_70.en.bpe,translations/out_lemma_70.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_70.zh_shuffled-en-zh.bpe,μ = 30.6 ± 0.7,30.6,1.0,perturbation,shuffled
8,80,lemma,bpe_set/lemma_80.en.bpe,translations/out_lemma_80.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_80.zh_shuffled-en-zh.bpe,μ = 30.0 ± 0.7,30.0,1.0,perturbation,shuffled
9,90,lemma,bpe_set/lemma_90.en.bpe,translations/out_lemma_90.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_90.zh_shuffled-en-zh.bpe,μ = 29.1 ± 0.7,29.1,1.0,perturbation,shuffled
10,100,punct.,bpe_set/no_punctuation_100.en.bpe,translations/out_no_punctuation_100.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_100.zh_shuffled-en-zh.bpe,μ = 28.7 ± 0.6,28.7,2.0,perturbation,shuffled
11,10,punct.,bpe_set/no_punctuation_10.en.bpe,translations/out_no_punctuation_10.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_10.zh_shuffled-en-zh.bpe,μ = 35.2 ± 0.7,35.2,2.0,perturbation,shuffled
12,20,punct.,bpe_set/no_punctuation_20.en.bpe,translations/out_no_punctuation_20.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_20.zh_shuffled-en-zh.bpe,μ = 34.5 ± 0.7,34.5,2.0,perturbation,shuffled
13,30,punct.,bpe_set/no_punctuation_30.en.bpe,translations/out_no_punctuation_30.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_30.zh_shuffled-en-zh.bpe,μ = 33.9 ± 0.7,33.9,2.0,perturbation,shuffled
14,40,punct.,bpe_set/no_punctuation_40.en.bpe,translations/out_no_punctuation_40.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_40.zh_shuffled-en-zh.bpe,μ = 33.1 ± 0.7,33.1,2.0,perturbation,shuffled
15,50,punct.,bpe_set/no_punctuation_50.en.bpe,translations/out_no_punctuation_50.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_50.zh_shuffled-en-zh.bpe,μ = 32.2 ± 0.7,32.2,2.0,perturbation,shuffled
16,60,punct.,bpe_set/no_punctuation_60.en.bpe,translations/out_no_punctuation_60.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_60.zh_shuffled-en-zh.bpe,μ = 31.2 ± 0.7,31.2,2.0,perturbation,shuffled
17,70,punct.,bpe_set/no_punctuation_70.en.bpe,translations/out_no_punctuation_70.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_70.zh_shuffled-en-zh.bpe,μ = 30.4 ± 0.7,30.4,2.0,perturbation,shuffled
18,80,punct.,bpe_set/no_punctuation_80.en.bpe,translations/out_no_punctuation_80.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_80.zh_shuffled-en-zh.bpe,μ = 29.4 ± 0.7,29.5,2.0,perturbation,shuffled
19,90,punct.,bpe_set/no_punctuation_90.en.bpe,translations/out_no_punctuation_90.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_90.zh_shuffled-en-zh.bpe,μ = 28.7 ± 0.6,28.7,2.0,perturbation,shuffled
20,100,NER-all,bpe_set/removed_named_allentities_100.en.bpe,translations/out_removed_named_allentities_100.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_100.zh_shuffled-en-zh.bpe,μ = 21.3 ± 0.6,21.3,3.0,perturbation,shuffled
21,10,NER-all,bpe_set/removed_named_allentities_10.en.bpe,translations/out_removed_named_allentities_10.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_10.zh_shuffled-en-zh.bpe,μ = 34.8 ± 0.7,34.8,3.0,perturbation,shuffled
22,20,NER-all,bpe_set/removed_named_allentities_20.en.bpe,translations/out_removed_named_allentities_20.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_20.zh_shuffled-en-zh.bpe,μ = 32.9 ± 0.7,32.9,3.0,perturbation,shuffled
23,30,NER-all,bpe_set/removed_named_allentities_30.en.bpe,translations/out_removed_named_allentities_30.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_30.zh_shuffled-en-zh.bpe,μ = 31.2 ± 0.7,31.2,3.0,perturbation,shuffled
24,40,NER-all,bpe_set/removed_named_allentities_40.en.bpe,translations/out_removed_named_allentities_40.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_40.zh_shuffled-en-zh.bpe,μ = 29.2 ± 0.6,29.2,3.0,perturbation,shuffled
25,50,NER-all,bpe_set/removed_named_allentities_50.en.bpe,translations/out_removed_named_allentities_50.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_50.zh_shuffled-en-zh.bpe,μ = 27.7 ± 0.6,27.7,3.0,perturbation,shuffled
26,60,NER-all,bpe_set/removed_named_allentities_60.en.bpe,translations/out_removed_named_allentities_60.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_60.zh_shuffled-en-zh.bpe,μ = 26.4 ± 0.6,26.4,3.0,perturbation,shuffled
