id,sentence fragment,correct answer,s1,s2,s3,s4
gold01,"お腹を,すかせた,居残り,保育の,幼稚,園児たちは,おやつを",s1,食べたがっている。,食いたい。,食事をしたがっている。,食べたい。
gold02,"いつも,お世話になっている,年配の,方から,本を",s3,あげた。,贈った。,いただいた。,あげられた。
gold03,"武力に,頼らない,平和を,希求する,者と,して,憲法,改正,反対は,正しいと",s4,望む。,信じない。,思う。,思わない。
gold04,"今日は,アルバイトが,終わってから,午後にでも,大学に",s3,勉強するかもしれない。,会えるかもしれない。,行くかもしれない。,帰るかもしれない。
gold05,"実験の,詳細や,段取りに,ついては,すでに,先方に,話を",s2,済んでいる。,通してある。,かけている。,伝えられている。
gold06,"深夜に,繁華街を,ふらふらと,歩いていたら,酔っぱらいに,不意に",s3,怒鳴りちらした。,怒鳴れた。,怒鳴られた。,怒鳴り始めた。
gold07,"閉店,後に,会議,室に,立ち寄ると、,藤原,課長が,部下を,厳しく",s2,叱られた。,叱責していた。,責められた。,慰めていた。
gold08,"薫は,浮舟への,口添え,文を,僧,都に,懇願して",s2,書かせた。,書いてもらった。,書いた。,書こうとした。
gold09,"七年,戦争では,フランス,軍,占領下で,辛酸を",s2,起こった。,なめた。,食べた。,味わった。
gold10,"しかし、,この,裁判は,完全には,終了しておらず、,まだ,予断を",s3,決定できない。,推測できない。,許さない。,しない。
gold11,"予期せぬ,2,回,戦,敗退に,肩を",s3,下げていた。,打っていた。,落としていた。,叩いていた。
gold12,"シェーファーは,生まれ故郷,シカゴの,観客に,向けて,大見得を",s3,広げた。,見せた。,切った。,示した。
gold13,"母親が,厳しく、,母の,前では,猫を",s1,被っていた。,撫でていた。,抱いた。,化けていた。
gold14,"これが,きっかけで,元,夫の,山下,健治と,よりを",s3,作る。,曲げる。,戻す。,壊す。
gold15,"家に,居候する,悪魔を,顎で",s2,撫でている。,使っている。,示している。,命令している。
gold16,"当社は,お客様の,ご依頼を,いただいてから,迅速に",s4,働きます。,努力します。,起こします。,対応します。
gold17,"震災の,後に,戦争が,起こり、,ついに,残酷な,運命が,二人を",s1,分かつ。,離れる。,裂く。,放す。
gold18,"冬は,お湯で,食器を,洗うと,手が",s1,荒れる。,すさむ。,割れる。,そがれる。
gold19,"任務,後、,その,プロジェクトに,関わった,全ての,関係,者は,秘密,機関に,よって,記憶を",s2,消そうとした。,消された。,消した。,消させた。
gold20,"田中氏の,母親は、,自分の,息子が,紫綬,褒章を,受章したので,とても",s2,喜ばしい。,嬉しそうだ。,楽しんだ。,幸せにした。
test001,"納経は,寺院が,主導し、,多数,作,善,思想の,もと,多数の,人が,加わって,行われたと",s1,いう。,あった。,なる。,見られる。
test002,"また、,国分寺や,法華,寺の,再興にも,務めて、,長年,閉ざされてきた,尼への,授戒を",s2,評価されるようになった。,許した。,訛った。,設置した。
test003,"近年には,神谷,哲史の,『黒い,森の,魔女』,（魔女,<>,ドラゴンに,変身する）などの,複雑な,ものも",s3,見られる。,いう。,ある。,なる。
test004,"経文には,普通、,法然,上人,御遺訓,一枚,起請,文と",s4,集中している。,高いとされている。,露出している。,題されている。
test005,"また、,「多く,小,袖に,袈裟を,掛け、,深,編,笠を,かぶり,刀を,帯,した。」と",s4,いわれている。,呼ばれる。,見られる。,される。
test006,"八,木城は,廃,城を,免れたようで,亀山,城の,支城と,して",s1,存続していた。,学んだ。,始まる。,存在する。
test007,"少年,時代は,熊本,藩の,藩,校で,儒学を,学び、,後に,西,本願寺に,おいて,修行に",s1,励んだ。,創刊される。,加えられている。,勤める。
test008,"『魏志倭人伝』では、,「楼,観」と,いう,記述が",s1,見られる。,あった。,なっている。,いわれている。
test009,"-,土蔵以外の,建物を,禁じられた,ため、,土蔵が,連続する,通りに",s1,なった。,見られる。,いう。,あった。
test010,"脇役を,務める,者は,アドと,いい、,能の,ワキとは,異なる,呼称と",s3,いう。,見られる。,なっている。,あった。
test011,"池,大,雅や,与,謝,蕪,村など,文人,画家たちも,彼の,姿を",s4,推測されている。,推定されている。,改めた。,描いている。
