id,sentence fragment,correct answer,s1,s2,s3,s4
gold01,お腹をすかせた居残り保育の幼稚園児たちはおやつを ,s1,食べたがっている。,食いたい。,食事をしたがっている。,食べたい。
gold02,いつもお世話になっている年配の方から本を,s3,あげた。,贈った。,いただいた。,あげられた。
gold03,武力に頼らない平和を希求する者として憲法改正反対は正しいと ,s4,望む。,信じない。,思う。,思わない。
gold04,今日はアルバイトが終わってから午後にでも大学に,s3,勉強するかもしれない。,会えるかもしれない。,行くかもしれない。,帰るかもしれない。
gold05,実験の詳細や段取りについてはすでに先方に話を,s2,済んでいる。,通してある。,かけている。,伝えられている。
gold06,深夜に繁華街をふらふらと歩いていたら酔っぱらいに不意に,s3,怒鳴りちらした。,怒鳴れた。,怒鳴られた。,怒鳴り始めた。
gold07,閉店後に会議室に立ち寄ると、藤原課長が部下を厳しく,s2,叱られた。,叱責していた。,責められた。,慰めていた。
gold08,薫は浮舟への口添え文を僧都に懇願して,s2,書かせた。,書いてもらった。,書いた。,書こうとした。
gold09,七年戦争ではフランス軍占領下で辛酸を,s2,起こった。,なめた。,食べた。,味わった。
gold10,しかし、この裁判は完全には終了しておらず、まだ予断を,s3,決定できない。,推測できない。,許さない。,しない。
gold11,予期せぬ2回戦敗退に肩を,s3,下げていた。,打っていた。,落としていた。,叩いていた。
gold12,シェーファーは生まれ故郷シカゴの観客に向けて大見得を,s3,広げた。,見せた。,切った。,示した。
gold13,母親が厳しく、母の前では猫を,s1,被っていた。,撫でていた。,抱いた。,化けていた。
gold14,これがきっかけで元夫の山下健治とよりを,s3,作る。,曲げる。,戻す。,壊す。
gold15,家に居候する悪魔を顎で,s2,撫でている。,使っている。,示している。,命令している。
gold16,当社はお客様のご依頼をいただいてから迅速に,s4,働きます。,努力します。,起こします。,対応します。
gold17,震災の後に戦争が起こり、ついに残酷な運命が二人を,s1,分かつ。,離れる。,裂く。,放す。
gold18,冬はお湯で食器を洗うと手が,s1,荒れる。,すさむ。,割れる。,そがれる。
gold19,任務後、そのプロジェクトに関わった全ての関係者は秘密機関によって記憶を,s2,消そうとした。,消された。,消した。,消させた。
gold20,田中氏の母親は、自分の息子が紫綬褒章を受章したのでとても,s2,喜ばしい。,嬉しそうだ。,楽しんだ。,幸せにした。
test001,納経は寺院が主導し、多数作善思想のもと多数の人が加わって行われたと,s1,いう。,あった。,なる。,見られる。
test002,また、国分寺や法華寺の再興にも務めて、長年閉ざされてきた尼への授戒を,s2,評価されるようになった。,許した。,訛った。,設置した。
test003,近年には神谷哲史の『黒い森の魔女』（魔女<>ドラゴンに変身する）などの複雑なものも,s3,見られる。,いう。,ある。,なる。
test004,経文には普通、法然上人御遺訓一枚起請文と,s4,集中している。,高いとされている。,露出している。,題されている。
test005,また、「多く小袖に袈裟を掛け、深編笠をかぶり刀を帯した。」と,s4,いわれている。,呼ばれる。,見られる。,される。
test006,八木城は廃城を免れたようで亀山城の支城として,s1,存続していた。,学んだ。,始まる。,存在する。
test007,少年時代は熊本藩の藩校で儒学を学び、後に西本願寺において修行に,s1,励んだ。,創刊される。,加えられている。,勤める。
test008,『魏志倭人伝』では、「楼観」という記述が,s1,見られる。,あった。,なっている。,いわれている。
test009,-土蔵以外の建物を禁じられたため、土蔵が連続する通りに,s1,なった。,見られる。,いう。,あった。
test010,脇役を務める者はアドといい、能のワキとは異なる呼称と,s3,いう。,見られる。,なっている。,あった。
test011,池大雅や与謝蕪村など文人画家たちも彼の姿を,s4,推測されている。,推定されている。,改めた。,描いている。
test012,二巻32話からなり、先行の説話集に無い話だけを,s1,収める。,厳しくなる。,収録されている。,勤める。
test013,現在では邪を払う縁起の良いものとされ、飾り矢として,s2,視された。,親しまれている。,触れている。,見る。
test014,広島・岡山・兵庫南部地方では48基,s2,なっていった。,みられる。,もたらした。,ねじる。
test015,「しつらえ」のための主要な間仕切りであった障子が、今日の「ふすま」の原型を,s1,なしている。,ついた。,なっていった。,できる。
test016,なお、大黒天と習合し大黒天を本尊と,s3,されている。,たどり着かない。,することもある。,さす。
